research_areas,year
Agriculture; Chemistry; Food Science & Technology,2544.0
Chemistry,2544.0
Chemistry; Crystallography,2544.0
Chemistry; Crystallography,2544.0
"Public, Environmental & Occupational Health",2544.0
Thermodynamics; Chemistry; Engineering,2544.0
Thermodynamics; Chemistry; Engineering,2544.0
Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy,2544.0
Polymer Science,2544.0
Pharmacology & Pharmacy,2544.0
Pediatrics; Respiratory System,2544.0
"Dentistry, Oral Surgery & Medicine; Surgery",2544.0
"Oncology; Dentistry, Oral Surgery & Medicine",2544.0
Chemistry; Crystallography,2544.0
Chemistry; Crystallography,2544.0
Chemistry; Crystallography,2544.0
Gastroenterology & Hepatology,2544.0
Immunology; Infectious Diseases; Microbiology,2544.0
Hematology,2544.0
Biochemistry & Molecular Biology; Plant Sciences,2544.0
"Dentistry, Oral Surgery & Medicine",2544.0
Crystallography,2544.0
Biochemistry & Molecular Biology; Food Science & Technology,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
"Public, Environmental & Occupational Health; Infectious Diseases",2544.0
Chemistry,2544.0
Endocrinology & Metabolism,2544.0
Chemistry,2544.0
"Dentistry, Oral Surgery & Medicine",2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
Hematology,2544.0
Immunology; Infectious Diseases; Microbiology,2544.0
Infectious Diseases,2544.0
Chemistry; Crystallography,2544.0
Crystallography,2544.0
Crystallography,2544.0
"Dentistry, Oral Surgery & Medicine",2544.0
"Dentistry, Oral Surgery & Medicine",2544.0
"Dentistry, Oral Surgery & Medicine",2544.0
Chemistry; Crystallography,2544.0
Chemistry; Crystallography,2544.0
Chemistry; Crystallography,2544.0
Chemistry,2544.0
Microbiology,2544.0
Food Science & Technology,2544.0
Food Science & Technology,2544.0
Gastroenterology & Hepatology; Nutrition & Dietetics; Pediatrics,2545.0
Crystallography,2545.0
Chemistry,2544.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Biochemistry & Molecular Biology; Hematology,2544.0
Marine & Freshwater Biology,2544.0
Engineering; Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences,2545.0
Zoology,2544.0
Environmental Sciences & Ecology,2545.0
Pharmacology & Pharmacy,2545.0
Substance Abuse; Psychiatry,2545.0
Pediatrics; Respiratory System,2545.0
"Public, Environmental & Occupational Health; Tropical Medicine",2545.0
Fisheries,2544.0
Fisheries,2544.0
Fisheries,2544.0
Fisheries,2544.0
Construction & Building Technology; Engineering,2545.0
Construction & Building Technology; Engineering,2545.0
Food Science & Technology; Microbiology,2545.0
Pharmacology & Pharmacy,2545.0
Environmental Sciences & Ecology,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
Nutrition & Dietetics,2545.0
Engineering; Materials Science,2545.0
"Public, Environmental & Occupational Health; Tropical Medicine",2545.0
Computer Science; Science & Technology - Other Topics,2544.0
Chemistry; Crystallography,2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
Chemistry,2545.0
Computer Science; Engineering; Medical Informatics,2545.0
Chemistry; Pharmacology & Pharmacy,2545.0
Oncology; Pediatrics,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Oncology,2545.0
Infectious Diseases; Respiratory System,2545.0
"Dentistry, Oral Surgery & Medicine; Pathology",2545.0
Biotechnology & Applied Microbiology,2545.0
Chemistry,2545.0
Materials Science; Polymer Science,2545.0
General & Internal Medicine,2545.0
Substance Abuse,2545.0
Pediatrics,2545.0
Infectious Diseases; Respiratory System,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Pharmacology & Pharmacy; Chemistry,2545.0
Hematology,2545.0
Crystallography; Spectroscopy,2544.0
Pharmacology & Pharmacy,2545.0
"Public, Environmental & Occupational Health; Infectious Diseases",2545.0
Gastroenterology & Hepatology,2545.0
Chemistry; Materials Science,2545.0
Cell Biology; Pathology,2545.0
Agriculture; Chemistry; Food Science & Technology,2545.0
Engineering; Food Science & Technology,2545.0
Engineering; Food Science & Technology,2545.0
"Dentistry, Oral Surgery & Medicine; Immunology; Microbiology",2545.0
Nutrition & Dietetics,2545.0
Fisheries; Veterinary Sciences,2545.0
Oncology,2545.0
Oncology,2545.0
Oncology,2545.0
Biotechnology & Applied Microbiology,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Crystallography,2545.0
Pharmacology & Pharmacy,2545.0
Chemistry; Crystallography,2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
Chemistry; Crystallography,2545.0
Mycology,2545.0
Chemistry; Pharmacology & Pharmacy,2545.0
Neurosciences & Neurology; Psychiatry; Psychology,2545.0
Pediatrics,2545.0
Crystallography,2545.0
Materials Science; Physics,2544.0
Materials Science; Physics,2545.0
Computer Science; Mathematics,2545.0
"Acoustics; Obstetrics & Gynecology; Radiology, Nuclear Medicine & Medical Imaging",2545.0
"Dentistry, Oral Surgery & Medicine",2544.0
"Dentistry, Oral Surgery & Medicine",2545.0
Plant Sciences; Environmental Sciences & Ecology; Agriculture,2545.0
"Public, Environmental & Occupational Health",2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
"Environmental Sciences & Ecology; Public, Environmental & Occupational Health",2545.0
Environmental Sciences & Ecology; Marine & Freshwater Biology; Oceanography,2545.0
Biochemistry & Molecular Biology; Plant Sciences,2545.0
Crystallography,2545.0
Chemistry; Crystallography,2545.0
Engineering; Environmental Sciences & Ecology; Water Resources,2545.0
Chemistry,2545.0
Endocrinology & Metabolism,2545.0
Polymer Science,2545.0
Physiology,2545.0
Computer Science,2545.0
Engineering; Environmental Sciences & Ecology,2545.0
Chemistry,2545.0
Biochemistry & Molecular Biology; Plant Sciences,2545.0
Biochemistry & Molecular Biology; Plant Sciences,2545.0
Gastroenterology & Hepatology,2545.0
General & Internal Medicine,2545.0
Crystallography,2545.0
Crystallography,2545.0
Gastroenterology & Hepatology,2545.0
Gastroenterology & Hepatology,2545.0
Marine & Freshwater Biology,2545.0
Agriculture; Chemistry; Food Science & Technology,2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
"Public, Environmental & Occupational Health; Parasitology; Tropical Medicine",2545.0
Pharmacology & Pharmacy,2545.0
Pharmacology & Pharmacy,2545.0
Chemistry; Pharmacology & Pharmacy,2545.0
Biochemistry & Molecular Biology; Food Science & Technology,2545.0
Biochemistry & Molecular Biology; Hematology,2545.0
Chemistry; Oceanography,2545.0
Obstetrics & Gynecology,2545.0
Obstetrics & Gynecology,2545.0
"Dentistry, Oral Surgery & Medicine",2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Chemistry; Crystallography,2545.0
Hematology,2545.0
Polymer Science,2546.0
Polymer Science,2546.0
Oncology; Pediatrics,2546.0
Oncology,2545.0
General & Internal Medicine,2545.0
Plant Sciences; Marine & Freshwater Biology,2545.0
Pharmacology & Pharmacy,2545.0
Immunology; Research & Experimental Medicine,2545.0
Neurosciences & Neurology,2545.0
Nursing,2545.0
Fisheries,2545.0
Neurosciences & Neurology; Surgery,2545.0
Research & Experimental Medicine; Otorhinolaryngology,2545.0
Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy,2545.0
Crystallography,2546.0
Agriculture; Biotechnology & Applied Microbiology; Energy & Fuels,2546.0
Pharmacology & Pharmacy,2545.0
Pharmacology & Pharmacy; Chemistry,2546.0
Health Care Sciences & Services,2545.0
Entomology,2545.0
Chemistry,2546.0
Physiology; Respiratory System,2546.0
"Radiology, Nuclear Medicine & Medical Imaging",2546.0
Chemistry; Crystallography,2546.0
Chemistry,2545.0
Fisheries; Marine & Freshwater Biology,2545.0
Allergy; Immunology,2545.0
Biochemistry & Molecular Biology; Cell Biology,2546.0
Agriculture; Chemistry; Food Science & Technology,2546.0
Nursing,2546.0
Biochemistry & Molecular Biology; Biophysics,2546.0
Crystallography,2546.0
Chemistry; Crystallography,2546.0
Chemistry; Materials Science,2546.0
Obstetrics & Gynecology,2546.0
Obstetrics & Gynecology,2546.0
Chemistry,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2546.0
Engineering,2546.0
Pharmacology & Pharmacy; Chemistry,2546.0
"Public, Environmental & Occupational Health; Tropical Medicine",2545.0
Food Science & Technology; Nutrition & Dietetics,2546.0
Plant Sciences; Pharmacology & Pharmacy,2546.0
Chemistry; Crystallography,2546.0
"Radiology, Nuclear Medicine & Medical Imaging",2546.0
Toxicology,2546.0
Marine & Freshwater Biology,2546.0
Materials Science; Polymer Science,2546.0
Endocrinology & Metabolism,2546.0
Food Science & Technology,2546.0
Computer Science; Mathematics; Mechanics; Physics,2546.0
Chemistry; Pharmacology & Pharmacy,2546.0
Infectious Diseases; Microbiology; Pharmacology & Pharmacy,2546.0
Computer Science,2545.0
"Dentistry, Oral Surgery & Medicine",2546.0
Biochemistry & Molecular Biology; Zoology,2546.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2546.0
Immunology; Infectious Diseases; Microbiology,2546.0
Pharmacology & Pharmacy,2546.0
Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,2546.0
Marine & Freshwater Biology; Oceanography,2546.0
Biochemistry & Molecular Biology; Food Science & Technology,2546.0
Physics; Spectroscopy,2546.0
Biochemistry & Molecular Biology; Zoology,2546.0
Gastroenterology & Hepatology,2546.0
Biotechnology & Applied Microbiology,2545.0
Pharmacology & Pharmacy,2546.0
Ophthalmology,2546.0
Plant Sciences; Pharmacology & Pharmacy,2546.0
Polymer Science,2546.0
Obstetrics & Gynecology,2546.0
Biochemistry & Molecular Biology; Endocrinology & Metabolism; Toxicology; Zoology,2546.0
Endocrinology & Metabolism,2546.0
"Public, Environmental & Occupational Health; Infectious Diseases",2546.0
Polymer Science,2546.0
Infectious Diseases,2546.0
Psychiatry,2546.0
Oncology; Hematology,2546.0
Endocrinology & Metabolism,2546.0
Polymer Science,2546.0
Nursing,2546.0
Chemistry,2546.0
Biochemistry & Molecular Biology; Zoology,2546.0
Gastroenterology & Hepatology; Infectious Diseases; Virology,2546.0
Plant Sciences; Chemistry; Food Science & Technology; Nutrition & Dietetics,2546.0
Entomology,2546.0
"Public, Environmental & Occupational Health; Infectious Diseases",2546.0
"Public, Environmental & Occupational Health",2546.0
Crystallography,2546.0
"Engineering; Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Water Resources",2546.0
Agriculture; Chemistry; Food Science & Technology,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2546.0
Zoology,2546.0
Engineering; Environmental Sciences & Ecology,2546.0
Biotechnology & Applied Microbiology; Immunology; Microbiology; Pharmacology & Pharmacy,2546.0
Plant Sciences; Pharmacology & Pharmacy,2546.0
Chemistry,2546.0
Polymer Science,2546.0
"Public, Environmental & Occupational Health; Infectious Diseases",2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2546.0
Food Science & Technology,2546.0
Food Science & Technology,2546.0
Food Science & Technology,2546.0
Substance Abuse,2546.0
Chemistry; Crystallography,2546.0
Mathematics,2546.0
Physics,2546.0
Chemistry,2546.0
"Acoustics; Obstetrics & Gynecology; Radiology, Nuclear Medicine & Medical Imaging",2546.0
Infectious Diseases; Microbiology; Pharmacology & Pharmacy,2546.0
Construction & Building Technology; Engineering,2546.0
Chemistry,2546.0
Biochemistry & Molecular Biology; Plant Sciences,2546.0
"Public, Environmental & Occupational Health; Biomedical Social Sciences",2546.0
"Public, Environmental & Occupational Health; Biomedical Social Sciences",2546.0
Urology & Nephrology,2546.0
Environmental Sciences & Ecology; Geology; Meteorology & Atmospheric Sciences,2546.0
Biotechnology & Applied Microbiology,2546.0
Endocrinology & Metabolism,2546.0
Gastroenterology & Hepatology,2546.0
Gastroenterology & Hepatology,2546.0
Environmental Sciences & Ecology; Marine & Freshwater Biology,2546.0
Polymer Science,2546.0
Genetics & Heredity,2546.0
Marine & Freshwater Biology,2546.0
Plant Sciences,2546.0
Polymer Science,2546.0
Pediatrics; Surgery,2546.0
Marine & Freshwater Biology; Oceanography,2546.0
Biochemistry & Molecular Biology; Plant Sciences,2546.0
Marine & Freshwater Biology,2546.0
Crystallography,2546.0
Crystallography,2546.0
Engineering,2546.0
Infectious Diseases; Microbiology; Pharmacology & Pharmacy,2546.0
Endocrinology & Metabolism,2546.0
Materials Science; Physics,2546.0
Biochemistry & Molecular Biology,2546.0
Gastroenterology & Hepatology; Pharmacology & Pharmacy,2546.0
Oncology,2546.0
Pediatrics; Surgery,2546.0
Materials Science,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2547.0
Biotechnology & Applied Microbiology; Food Science & Technology,2546.0
Food Science & Technology,2546.0
Environmental Sciences & Ecology; Agriculture,2546.0
Obstetrics & Gynecology,2546.0
Crystallography,2546.0
Plant Sciences; Pharmacology & Pharmacy,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2547.0
Engineering,2546.0
Infectious Diseases; Respiratory System,2546.0
Agriculture; Biotechnology & Applied Microbiology; Energy & Fuels,2547.0
Pediatrics; Tropical Medicine,2546.0
Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy,2546.0
Engineering; Environmental Sciences & Ecology; Water Resources,2546.0
Virology,2546.0
Virology,2546.0
Polymer Science,2547.0
Food Science & Technology,2547.0
Plant Sciences; Pharmacology & Pharmacy,2546.0
Materials Science; Polymer Science,2547.0
Chemistry,2547.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2547.0
"Dentistry, Oral Surgery & Medicine; Surgery",2547.0
Agriculture,2547.0
"Dentistry, Oral Surgery & Medicine",2546.0
Engineering; Geology,2547.0
Crystallography,2547.0
Marine & Freshwater Biology,2547.0
Chemistry,2547.0
Parasitology; Veterinary Sciences,2547.0
Biochemistry & Molecular Biology; Plant Sciences,2547.0
Chemistry; Food Science & Technology,2547.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2546.0
Physics,2547.0
Biochemistry & Molecular Biology; Plant Sciences,2547.0
Neurosciences & Neurology,2547.0
"Public, Environmental & Occupational Health; Infectious Diseases",2547.0
Pediatrics; Urology & Nephrology,2547.0
Biophysics; Biotechnology & Applied Microbiology; Chemistry; Electrochemistry; Science & Technology - Other Topics,2547.0
Obstetrics & Gynecology,2547.0
"Public, Environmental & Occupational Health; Biomedical Social Sciences",2547.0
Food Science & Technology,2547.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
"Dentistry, Oral Surgery & Medicine",2546.0
Pharmacology & Pharmacy,2549.0
Pharmacology & Pharmacy,2549.0
"Public, Environmental & Occupational Health; Tropical Medicine",2548.0
Cell Biology; Immunology,2548.0
Oncology,2550.0
Oncology,2550.0
Oncology,2550.0
Fisheries,2545.0
Education & Educational Research; Linguistics,2552.0
"Public, Environmental & Occupational Health; Infectious Diseases",2552.0
Integrative & Complementary Medicine; Nursing,2552.0
General & Internal Medicine,2552.0
"Public, Environmental & Occupational Health",2553.0
Zoology,2544.0
Agriculture,2551.0
Pediatrics,2553.0
Pharmacology & Pharmacy,2547.0
Gastroenterology & Hepatology,2554.0
Gastroenterology & Hepatology; Neurosciences & Neurology,2554.0
Psychology; Psychiatry,2554.0
Pediatrics,2554.0
Oncology,2554.0
Oncology,2554.0
Oncology,2554.0
Oncology,2555.0
Rheumatology,2556.0
Materials Science,2555.0
Biotechnology & Applied Microbiology,2551.0
Biotechnology & Applied Microbiology,2551.0
Biotechnology & Applied Microbiology,2551.0
Biotechnology & Applied Microbiology,2551.0
Obstetrics & Gynecology,2556.0
Health Care Sciences & Services,2556.0
General & Internal Medicine; Nursing,2556.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2556.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2556.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2556.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2556.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2556.0
Respiratory System,2556.0
Chemistry; Dermatology,2555.0
Biotechnology & Applied Microbiology; Microbiology,2556.0
Biotechnology & Applied Microbiology,2556.0
Mycology,2553.0
Mycology,2554.0
Chemistry; Science & Technology - Other Topics; Materials Science,2557.0
Oncology,2554.0
Oncology,2554.0
Infectious Diseases,2557.0
Infectious Diseases,2557.0
Infectious Diseases,2557.0
Infectious Diseases,2557.0
Oncology,2555.0
Psychology; Psychiatry,2556.0
Endocrinology & Metabolism; General & Internal Medicine,2551.0
Anesthesiology,2553.0
Anesthesiology,2557.0
Food Science & Technology,2557.0
Food Science & Technology,2557.0
Food Science & Technology,2557.0
Food Science & Technology,2557.0
Gastroenterology & Hepatology,2558.0
General & Internal Medicine,2558.0
Business & Economics,2558.0
Health Care Sciences & Services,2558.0
Obstetrics & Gynecology,2558.0
Nutrition & Dietetics,2558.0
Sociology,2558.0
Engineering,2558.0
Engineering,2558.0
Engineering,2558.0
Engineering,2558.0
Social Sciences - Other Topics; Business & Economics,2558.0
General & Internal Medicine,2558.0
Orthopedics,2558.0
Virology,2558.0
Psychiatry,2558.0
Psychiatry,2558.0
Engineering,2558.0
"Public, Environmental & Occupational Health",2558.0
Engineering,2558.0
Food Science & Technology,2558.0
Food Science & Technology,2558.0
"Public, Environmental & Occupational Health",2558.0
Surgery,2558.0
Food Science & Technology,2547.0
Chemistry; Food Science & Technology,2547.0
"Public, Environmental & Occupational Health; Psychology",2547.0
Environmental Sciences & Ecology,2546.0
Obstetrics & Gynecology; Reproductive Biology,2547.0
Biochemistry & Molecular Biology; Food Science & Technology,2547.0
Biotechnology & Applied Microbiology,2547.0
Chemistry; Food Science & Technology,2547.0
Chemistry; Pharmacology & Pharmacy,2547.0
Food Science & Technology,2547.0
Engineering; Mechanics; Materials Science,2547.0
Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences; Water Resources,2547.0
"Dentistry, Oral Surgery & Medicine",2547.0
Engineering; Physics,2547.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2547.0
Obstetrics & Gynecology,2547.0
Biochemistry & Molecular Biology; Materials Science; Polymer Science,2547.0
Fisheries; Marine & Freshwater Biology,2547.0
Polymer Science,2547.0
Food Science & Technology,2547.0
Psychiatry,2547.0
Gastroenterology & Hepatology,2547.0
"Environmental Sciences & Ecology; Public, Environmental & Occupational Health; Toxicology",2547.0
Fisheries; Veterinary Sciences,2546.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2547.0
Psychology; Psychiatry,2547.0
Pharmacology & Pharmacy,2547.0
Polymer Science,2547.0
"Public, Environmental & Occupational Health; Tropical Medicine",2547.0
"Public, Environmental & Occupational Health; Tropical Medicine",2547.0
Neurosciences & Neurology; Surgery,2547.0
Biochemistry & Molecular Biology; Plant Sciences,2547.0
Marine & Freshwater Biology,2547.0
Polymer Science,2547.0
Engineering; Environmental Sciences & Ecology; Water Resources,2547.0
Materials Science; Mechanics,2547.0
Infectious Diseases,2547.0
Plant Sciences; Pharmacology & Pharmacy,2547.0
Hematology,2547.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2547.0
Food Science & Technology,2547.0
Endocrinology & Metabolism; Pediatrics,2547.0
Crystallography,2547.0
Pharmacology & Pharmacy; Chemistry,2547.0
"Public, Environmental & Occupational Health; Biomedical Social Sciences",2547.0
Materials Science; Physics,2547.0
Cardiovascular System & Cardiology,2547.0
Orthopedics; Surgery,2547.0
Food Science & Technology,2547.0
Health Care Sciences & Services,2547.0
Chemistry,2547.0
Oncology,2547.0
Reproductive Biology,2547.0
Reproductive Biology,2547.0
Agriculture,2547.0
Biotechnology & Applied Microbiology,2547.0
Food Science & Technology,2547.0
Pharmacology & Pharmacy; Chemistry,2547.0
Gastroenterology & Hepatology,2547.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2547.0
Endocrinology & Metabolism; Pediatrics,2547.0
Food Science & Technology,2547.0
Chemistry,2547.0
Nutrition & Dietetics,2547.0
Pharmacology & Pharmacy,2547.0
Biochemistry & Molecular Biology; Pharmacology & Pharmacy; Chemistry,2547.0
General & Internal Medicine,2547.0
Biochemistry & Molecular Biology,2547.0
Chemistry,2547.0
"Public, Environmental & Occupational Health",2547.0
Oncology; Obstetrics & Gynecology,2547.0
Gastroenterology & Hepatology,2547.0
Gastroenterology & Hepatology,2547.0
Gastroenterology & Hepatology,2547.0
Gastroenterology & Hepatology,2547.0
Gastroenterology & Hepatology,2547.0
Pathology,2547.0
Pathology,2547.0
Immunology; Infectious Diseases,2547.0
Engineering,2547.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2548.0
Nutrition & Dietetics,2547.0
Rheumatology,2547.0
Infectious Diseases,2547.0
"Public, Environmental & Occupational Health; Infectious Diseases",2547.0
Biotechnology & Applied Microbiology; Microbiology,2547.0
Environmental Sciences & Ecology; Marine & Freshwater Biology,2547.0
Pharmacology & Pharmacy,2547.0
Food Science & Technology,2547.0
Cardiovascular System & Cardiology,2547.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2548.0
Chemistry; Food Science & Technology; Nutrition & Dietetics,2548.0
Plant Sciences; Pharmacology & Pharmacy,2547.0
Crystallography,2547.0
Food Science & Technology; Nutrition & Dietetics,2547.0
Mycology,2547.0
Food Science & Technology,2548.0
Pathology,2547.0
Business & Economics; Health Care Sciences & Services,2547.0
Biochemistry & Molecular Biology; Pharmacology & Pharmacy; Chemistry,2547.0
Biochemistry & Molecular Biology; Chemistry,2547.0
Dermatology,2547.0
Biochemistry & Molecular Biology; Biophysics,2547.0
Orthopedics,2547.0
Plant Sciences; Medical Laboratory Technology; Pharmacology & Pharmacy,2546.0
Chemistry,2547.0
Oncology,2547.0
Biochemistry & Molecular Biology; Materials Science; Polymer Science,2547.0
Plant Sciences; Pharmacology & Pharmacy,2547.0
Genetics & Heredity; Obstetrics & Gynecology,2547.0
Endocrinology & Metabolism,2547.0
Pharmacology & Pharmacy,2547.0
Chemistry; Polymer Science,2547.0
Marine & Freshwater Biology,2547.0
Chemistry; Food Science & Technology,2548.0
Parasitology,2548.0
Crystallography,2548.0
Rheumatology,2547.0
Pharmacology & Pharmacy; Chemistry,2548.0
Communication,2548.0
Pharmacology & Pharmacy,2548.0
Chemistry,2547.0
Biotechnology & Applied Microbiology; Microbiology,2548.0
Pharmacology & Pharmacy,2548.0
Biochemistry & Molecular Biology; Food Science & Technology,2547.0
Chemistry,2548.0
Agriculture,2548.0
Surgery,2548.0
Engineering; Materials Science,2548.0
Crystallography,2548.0
Plant Sciences,2546.0
Pharmacology & Pharmacy,2548.0
Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,2548.0
Pharmacology & Pharmacy,2548.0
Pharmacology & Pharmacy; Chemistry,2548.0
Gastroenterology & Hepatology; Pharmacology & Pharmacy,2548.0
Science & Technology - Other Topics; Engineering; Environmental Sciences & Ecology,2548.0
Food Science & Technology,2548.0
Food Science & Technology,2548.0
"Public, Environmental & Occupational Health; Tropical Medicine",2548.0
Surgery,2548.0
Crystallography,2548.0
Chemistry,2548.0
Pharmacology & Pharmacy,2548.0
Biotechnology & Applied Microbiology; Food Science & Technology,2548.0
Chemistry; Pharmacology & Pharmacy,2548.0
Chemistry,2548.0
Chemistry,2548.0
Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Engineering,2548.0
Pediatrics,2548.0
Pharmacology & Pharmacy; Chemistry,2548.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2548.0
Hematology,2548.0
"Dentistry, Oral Surgery & Medicine",2546.0
Neurosciences & Neurology,2548.0
Food Science & Technology,2548.0
Food Science & Technology,2548.0
Chemistry,2548.0
Mycology,2548.0
Microbiology; Pharmacology & Pharmacy,2548.0
Pediatrics,2548.0
Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine,2548.0
Chemistry,2548.0
Chemistry,2548.0
Obstetrics & Gynecology,2548.0
Chemistry,2548.0
Pharmacology & Pharmacy,2548.0
Pediatrics; Respiratory System,2548.0
Fisheries,2548.0
Food Science & Technology,2548.0
Business & Economics; Health Care Sciences & Services,2548.0
Biochemistry & Molecular Biology; Chemistry,2548.0
Anesthesiology,2548.0
Crystallography,2548.0
Crystallography,2548.0
Fisheries,2548.0
Agriculture; Chemistry; Food Science & Technology,2548.0
"Environmental Sciences & Ecology; Public, Environmental & Occupational Health",2548.0
Infectious Diseases; Microbiology,2548.0
Environmental Sciences & Ecology,2548.0
Marine & Freshwater Biology,2548.0
Gastroenterology & Hepatology,2548.0
